,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
30,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,2,0,0,0,0,1,0,1,0,1,0,1,0
31,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,2,0,0,0,0,1,1,1,0,1,0,1,0
32,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,2,0,0,0,0,1,1,1,0,1,0,1,0
33,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,0,0,0,1,1,1,0,1,0,1,0
34,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,2,0,1,1,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,0,1,0,1,1,1,0,1,0,1,0
35,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,2,0,1,1,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,0,1,0,1,1,1,0,1,0,1,0
36,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,1,2,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,0,1,0,1,1,1,0,1,0,1,1
37,0,2,0,1,1,1,1,0,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,1,2,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,0,1,0,1,1,1,0,1,0,1,1
38,0,2,0,1,1,1,1,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,1,2,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,0,1,0,1,1,1,0,1,1,1,1
39,0,2,0,1,1,1,1,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,2,2,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,0,1,0,1,1,1,0,1,1,1,1
40,0,2,0,1,1,1,1,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,2,2,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,0,1,0,1,1,1,0,1,1,1,1
41,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,2,2,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,1,1,0,1,1,1,0,1,1,1,1
42,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,2,2,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,2,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,1,1,0,1,1,1,0,1,1,1,1
43,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,2,2,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,2,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,1,1,0,1,1,1,0,1,1,1,1
44,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,2,2,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,2,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,2,0,1,2,0,1,1,1,0,1,1,1,1
45,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,2,2,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,2,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,2,1,0,1,0,2,0,1,2,0,1,1,1,0,1,1,1,1
46,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,2,2,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,2,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,2,1,0,1,0,2,0,1,2,0,1,1,1,0,1,1,1,1
47,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,0,2,2,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,2,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,2,1,0,1,0,2,0,1,2,0,1,1,1,0,1,1,1,1
48,0,2,1,1,1,1,1,1,0,1,0,1,0,0,1,2,0,1,1,0,1,1,0,2,2,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,2,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,2,1,0,1,0,2,0,1,2,1,1,1,1,0,1,1,1,1
49,0,2,1,1,1,1,1,1,1,1,0,1,0,0,1,2,0,1,1,0,1,1,0,2,2,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,2,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,2,1,0,1,0,2,0,1,2,1,1,1,1,1,1,1,1,1
50,0,2,1,1,1,1,1,1,1,1,0,1,0,0,1,2,0,1,1,0,1,1,1,2,2,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,2,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,2,1,0,1,0,2,0,1,2,1,1,1,1,1,1,1,1,1
51,0,2,1,1,1,1,1,1,1,1,0,1,0,0,1,2,0,1,1,0,1,1,1,2,2,1,0,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,2,1,0,1,0,2,0,1,2,1,1,1,1,1,1,1,1,1
52,0,2,1,1,1,1,1,1,1,1,0,1,0,0,1,2,0,1,1,0,1,1,1,2,2,1,0,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,2,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,2,1,0,1,0,2,0,1,2,1,1,1,1,1,1,1,1,1
53,0,2,1,1,1,1,1,1,1,1,0,1,0,0,1,2,0,1,1,0,1,1,1,2,2,1,0,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,2,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,2,1,0,1,0,2,0,1,2,1,1,1,1,1,1,1,1,1
54,0,2,1,1,1,1,1,1,1,1,0,1,0,0,1,2,1,1,1,0,1,1,1,2,2,1,0,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,2,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,2,1,0,1,0,2,0,1,2,1,1,1,1,1,1,1,1,1
55,0,2,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,1,1,1,1,1,1,2,2,1,0,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,2,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,2,1,0,1,0,2,0,1,2,1,1,1,1,1,1,1,1,1
56,0,2,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,1,1,1,1,1,1,2,2,1,0,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,1,1,0,1,1,2,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,2,1,0,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1
57,0,2,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,1,1,1,1,1,1,2,2,1,0,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,1,1,0,1,1,2,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,2,1,0,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1
58,0,2,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,1,1,1,1,1,2,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1
59,0,2,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,1,1,1,1,1,2,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1
60,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,1,1,1,1,1,2,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1
61,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,1,1,1,1,1,2,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1
62,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,1,1,1,1,1,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1
63,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,2,1,1,1,1,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1
64,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,2,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1
65,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,2,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1
66,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,2,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1
