,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
17,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
19,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
20,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
21,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
22,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
23,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
24,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
25,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
26,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
27,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,2,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
28,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,2,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
29,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,2,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
30,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,2,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0
31,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,2,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0
32,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,2,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
33,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,2,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
34,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,2,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
35,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,2,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
36,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,2,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
37,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,2,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
38,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,2,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
39,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,2,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,1,1,0,1,1,1,1,1,1,0,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
40,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,2,2,1,1,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,2,1,0,2,1,1,1,1,1,0,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
41,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,2,2,1,1,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,2,1,0,2,1,1,1,1,1,1,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
42,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,2,2,1,1,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,1,1,1,0,1,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
43,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,2,2,1,1,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,1,1,1,0,1,2,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1
44,1,1,2,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,1,2,2,1,1,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,1,0,0,1,1,1,0,1,2,2,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
45,1,1,2,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,2,2,1,1,1,1,0,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,1,0,1,1,1,1,0,1,2,2,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
46,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,1,1,1,0,1,2,2,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1
47,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,1,1,0,2,1,1,0,0,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,2,1,1,0,1,2,2,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
48,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,1,1,0,2,1,1,0,0,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,2,1,1,0,1,2,2,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
49,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,1,1,0,2,1,1,0,0,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,2,1,1,0,1,2,2,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
50,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,0,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,0,0,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,2,1,1,0,1,2,2,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1
51,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,0,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,0,0,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,2,1,1,0,1,2,2,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
52,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,0,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,0,0,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,2,1,1,0,1,2,2,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
53,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,0,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,0,0,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,2,1,1,0,1,2,2,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
54,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,0,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,0,1,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,0,1,2,2,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
55,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,0,1,0,2,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,0,1,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
56,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,0,1,0,2,1,1,1,1,1,2,0,1,1,1,1,1,0,2,1,1,0,1,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
57,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,1,1,0,2,1,1,1,1,1,2,0,1,1,1,1,1,0,2,1,1,0,1,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
58,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,1,1,0,2,1,1,1,1,1,2,0,1,1,1,1,1,0,2,1,1,0,1,2,2,1,0,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
59,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,1,1,0,2,1,1,1,1,1,2,0,1,1,1,1,1,1,2,1,1,0,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
60,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,0,1,1,1,1,1,1,2,1,1,0,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
61,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,0,1,1,1,1,1,1,2,1,1,0,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
62,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,0,1,1,1,1,1,1,2,1,1,0,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
63,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,0,1,1,1,1,1,1,2,1,1,0,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
64,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,0,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
65,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,0,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
66,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,0,1,2,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
